"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Premium_Petrol_95R_importer_cost_NZc.p.l","Premium_Petrol_95R_ETS_NZc.p.l","Premium_Petrol_95R_GST_NZc.p.l","Premium_Petrol_95R_taxes_NZc.p.l","Premium_Petrol_95R_price_excl_taxes_NZc.p.l","Premium_Petrol_95R_main_port_price_NZc.p.l","Premium_Petrol_95R_discounted_retail_price_NZc.p.l","Premium_Petrol_95R_importer_margin_NZc.p.l","Premium_Petrol_95R_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2016-01-29,"2016w04","Final",27.77,0.64672,42.9397575457694,41.1162918472293,1.1348,10.6698518872432,11.0448518872432,69.6225459149546,94.1857142857143,81.8021978021978,28.5062540677253,32.5162855401158,53.6575581370821,0.9818,22.0434782608696,89.1724782608696,78.8457217391304,181.185714285714,169,25.1881636020483,28.0452606938691,54.5480320486575,1.006,23.8916996047431,91.0206996047431,91.1429973649539,189.185714285714,183.169696969697,36.5949653162964,39.113408137638,80.3908211180124
2016-02-05,"2016w05","Final",30.17,0.65858,45.8106835919706,42.8898972567104,1.1348,10.8934543717152,11.2684543717152,71.1132291447683,95.9,83.5164835164835,28.2233318880579,32.4948295577667,50.0161141395171,0.9818,22.2670807453416,89.3960807453416,80.3364049689441,182.9,170.714285714286,30.320290829427,28.0647376117439,50.890415264818,1.006,24.1153020892151,91.2443020892151,92.6336805947676,190.9,184.883982683983,41.7432653299496,39.1653215981733,81.8815043478261
2016-02-12,"2016w06","Final",27,0.665825,40.5511958848046,40.3688209740504,1.1348,10.8934543717152,11.2684543717152,71.1132291447683,95.9,83.5164835164835,30.7444081707179,32.4733735754177,44.0643907201899,0.9818,21.5403726708075,88.6693726708075,75.4916844720497,177.328571428571,165.142857142857,31.4272937518597,28.0842145296186,44.9291107421237,1.006,23.388594014681,90.517594014681,87.7889600978731,185.328571428571,179.312554112554,42.8598493557495,39.2172350587086,81.8815043478261
2016-02-19,"2016w07","Final",29.56,0.6628,44.5986722993362,44.0955797745539,1.1348,11.1170568561873,11.4920568561873,72.6039123745819,97.6142857142857,85.2307692307692,28.508332600028,32.4902637050943,47.7104085697748,0.9818,21.0931677018634,88.2221677018634,72.5103180124224,173.9,161.714285714286,24.7999094426476,28.0912737415896,48.5791430826002,1.006,22.9413890457369,90.0703890457369,84.8075936382458,181.9,175.883982683983,36.2284505556456,39.2478114162628,83.3721875776397
2016-02-26,"2016w08","Final",29.96,0.66782,44.8623880686413,43.3716652386969,1.1348,11.2847587195413,11.6597587195413,73.7219247969422,98.9,86.5164835164835,30.3502595582453,32.507153834771,47.9787582056923,0.9818,21.0931677018634,88.2221677018634,72.5103180124224,173.9,161.714285714286,24.5315598067301,28.0983329535606,48.841265848973,1.006,22.9413890457369,90.0703890457369,84.8075936382458,181.9,175.883982683983,35.9663277892729,39.2783877738171,84.4902
2016-03-04,"2016w09","Final",32.21,0.66422,48.4929691969528,45.5711569621731,1.1348,11.6760630673674,12.0510630673674,76.3306204491161,101.9,89.5164835164835,30.759463486943,32.5240439644476,50.9918580906048,0.9818,21.4844720496894,88.6134720496894,75.1190136645963,176.9,164.714285714286,24.1271555739915,28.1053921655316,51.8590404312987,1.006,23.332693393563,90.461693393563,87.4162892904197,184.9,178.883982683983,35.557248859121,39.3089641313714,87.0988956521739
2016-03-11,"2016w10","Final",35.48,0.67262,52.7489518598912,48.9695826888161,1.1348,12.1232680363115,12.4982680363115,79.3119869087434,105.328571428571,92.9450549450549,30.3424042199274,32.5409340941242,55.7464517603502,0.9818,21.9316770186335,89.0606770186336,78.1003801242236,180.328571428571,168.142857142857,22.3539283638734,28.1124513775026,56.602871255507,1.006,23.7798983625071,90.9088983625071,90.3976557500471,188.328571428571,182.312554112554,33.79478449454,39.3395404889257,90.0802621118012
2016-03-18,"2016w11","Final",35.94,0.67242,53.4487373962702,49.5212106896393,1.1348,12.9804108934544,13.3554108934544,85.0262726230291,111.9,99.5164835164835,35.5050619333899,32.5578242238009,55.9222577533713,0.9818,22.7888198757764,89.9178198757764,83.8146658385093,186.9,174.714285714286,27.892408085138,28.1195105894736,56.7795346328549,1.006,24.6370412196499,91.7660412196499,96.1119414643328,194.9,188.883982683983,39.3324068314778,39.37011684648,95.794547826087
2016-03-25,"2016w12","Final",36.82,0.67505,54.5441078438634,49.9809181546769,1.40176,12.9804108934544,13.3554108934544,84.7593126230291,111.9,99.5164835164835,34.7783944683522,32.5747143534775,56.893422181083,1.21276,22.7888198757764,89.9178198757764,83.5837058385093,186.9,174.714285714286,26.6902836574264,28.1265698014446,57.7475258556908,1.2428,24.6370412196499,91.7660412196499,95.8751414643328,194.9,188.883982683983,38.127615608642,39.4006932040342,95.527587826087
2016-04-01,"2016w13","Final",34.93,0.68605,50.9146563661541,47.3433474894977,1.4685,12.7610470275067,13.1360470275067,83.2301468500444,111.9,97.834693877551,35.8867993605467,32.5916044831542,55.4731538917437,1.2705,22.6961231315269,89.8251231315269,82.9079875435124,186.9,174.003610675039,27.4348336517687,28.1336290134156,56.3137271032963,1.302,24.5778848480712,91.7068848480712,95.4215656538079,194.9,188.430450501879,39.1078385505116,39.4312695615885,95.460847826087
