City, Station,Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Upper Hutt, Trentham Ews,2017,Jan,10,17,17.9,15.1,73.0,13.0
Upper Hutt, Trentham Ews,2017,Jan,10,18,16.9,14.4,75.0,12.4
Upper Hutt, Trentham Ews,2017,Jan,10,19,16.4,13.8,73.0,11.6
Upper Hutt, Trentham Ews,2017,Jan,10,20,16.1,13.6,74.0,11.5
Upper Hutt, Trentham Ews,2017,Jan,10,21,15.8,13.5,76.0,11.6
Upper Hutt, Trentham Ews,2017,Jan,10,22,15.9,13.6,76.0,11.7
Upper Hutt, Trentham Ews,2017,Jan,10,23,16.0,13.8,77.0,12.0
Upper Hutt, Trentham Ews,2017,Jan,11,00,15.8,13.9,80.0,12.4
Upper Hutt, Trentham Ews,2017,Jan,11,01,15.9,14.0,80.0,12.5
Upper Hutt, Trentham Ews,2017,Jan,11,02,15.8,13.8,79.0,12.2
Upper Hutt, Trentham Ews,2017,Jan,11,03,15.8,14.1,82.0,12.7
Upper Hutt, Trentham Ews,2017,Jan,11,04,15.7,14.1,83.0,12.8
Upper Hutt, Trentham Ews,2017,Jan,11,05,15.9,14.3,83.0,13.0
Upper Hutt, Trentham Ews,2017,Jan,11,06,15.9,14.4,84.0,13.2
Upper Hutt, Trentham Ews,2017,Jan,11,07,16.8,15.0,82.0,13.7
Upper Hutt, Trentham Ews,2017,Jan,11,08,18.3,16.1,79.0,14.6
Upper Hutt, Trentham Ews,2017,Jan,11,09,17.5,15.9,84.0,14.8
Upper Hutt, Trentham Ews,2017,Jan,11,10,17.6,16.2,86.0,15.2
Upper Hutt, Trentham Ews,2017,Jan,11,11,18.1,16.6,85.0,15.6
Upper Hutt, Trentham Ews,2017,Jan,11,12,18.6,17.1,85.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,11,13,18.2,16.9,87.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,11,14,17.8,16.7,89.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,11,15,18.4,16.9,85.0,15.8
Upper Hutt, Trentham Ews,2017,Jan,11,16,18.9,17.1,83.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,11,17,18.6,16.5,80.0,15.1
Upper Hutt, Trentham Ews,2017,Jan,11,18,18.4,16.8,84.0,15.7
Upper Hutt, Trentham Ews,2017,Jan,11,19,17.9,16.4,85.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,11,20,17.5,16.6,91.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,11,21,17.2,16.5,93.0,16.1
Upper Hutt, Trentham Ews,2017,Jan,11,22,17.2,16.5,93.0,16.1
Upper Hutt, Trentham Ews,2017,Jan,11,23,17.5,16.6,91.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,12,00,17.4,16.6,92.0,16.1
Upper Hutt, Trentham Ews,2017,Jan,12,01,17.4,16.6,92.0,16.1
Upper Hutt, Trentham Ews,2017,Jan,12,02,17.4,16.4,90.0,15.7
Upper Hutt, Trentham Ews,2017,Jan,12,03,17.2,15.6,84.0,14.5
Upper Hutt, Trentham Ews,2017,Jan,12,04,16.9,15.6,87.0,14.7
Upper Hutt, Trentham Ews,2017,Jan,12,05,16.9,15.5,86.0,14.6
Upper Hutt, Trentham Ews,2017,Jan,12,06,17.2,15.7,85.0,14.7
