City, Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Gisborne,2017,Jan,16,0,22.5,14.9,40,8.2
Gisborne,2017,Jan,16,1,20.9,14.2,44,8.2
Gisborne,2017,Jan,16,2,18.7,13.7,54,9.2
Gisborne,2017,Jan,16,3,16.6,12.7,61,9.1
Gisborne,2017,Jan,16,4,15.4,12.1,66,9.1
Gisborne,2017,Jan,16,5,14.6,11.8,70,9.2
Gisborne,2017,Jan,16,6,15.4,12.6,70,10
Gisborne,2017,Jan,16,7,19.3,14.3,55,10.1
Gisborne,2017,Jan,16,8,21.9,14.9,43,8.8
Gisborne,2017,Jan,16,9,23.9,15.4,36,7.9
Gisborne,2017,Jan,16,10,26,16.1,31,7.6
Gisborne,2017,Jan,16,11,26.8,17.6,36,10.5
Gisborne,2017,Jan,16,12,26.7,17.5,36,10.4
Gisborne,2017,Jan,16,13,27.2,17.5,34,10
Gisborne,2017,Jan,16,14,27.5,17.6,33,9.8
Gisborne,2017,Jan,16,15,27.1,17.3,33,9.5
Gisborne,2017,Jan,16,16,26.3,17.5,38,10.9
Gisborne,2017,Jan,16,17,27.1,18.1,38,11.6
Gisborne,2017,Jan,16,18,23.5,17.7,54,13.7
Gisborne,2017,Jan,16,19,21.5,17.1,62,13.9
Gisborne,2017,Jan,16,20,19.6,16.3,70,14
Gisborne,2017,Jan,16,21,18.5,15.7,73,13.6
Gisborne,2017,Jan,16,22,16.8,14.8,80,13.3
Gisborne,2017,Jan,16,23,15.2,13.8,85,12.7
Gisborne,2017,Jan,17,0,15,13.7,86,12.7
Gisborne,2017,Jan,17,1,14.7,13.6,88,12.7
Gisborne,2017,Jan,17,2,13.2,12.3,89,11.4
Gisborne,2017,Jan,17,3,12.8,12,91,11.4
Gisborne,2017,Jan,17,4,11.6,10.8,90,10
Gisborne,2017,Jan,17,5,11.4,10.7,91,10
Gisborne,2017,Jan,17,6,12.6,11.9,91,11.2
Gisborne,2017,Jan,17,7,15.5,13.6,80,12.1
Gisborne,2017,Jan,17,8,19.4,15.2,62,11.9
Gisborne,2017,Jan,17,9,23.3,16.3,45,10.7
Gisborne,2017,Jan,17,10,25.8,16.5,34,8.8
Gisborne,2017,Jan,17,11,26.7,19,45,13.8
Gisborne,2017,Jan,17,12,26.3,17.9,40,11.6
Gisborne,2017,Jan,17,13,26.6,17.4,36,10.3
Gisborne,2017,Jan,17,14,27.8,18,34,10.5
Gisborne,2017,Jan,17,15,27.4,17.5,33,9.7
Gisborne,2017,Jan,17,16,25.9,17.9,42,12
Gisborne,2017,Jan,17,17,26.9,18,38,11.4
Gisborne,2017,Jan,17,18,25.3,17.7,44,12.2
Gisborne,2017,Jan,17,19,23.3,17,50,12.3
Gisborne,2017,Jan,17,20,19.9,15.9,64,12.9
Gisborne,2017,Jan,17,21,18,14.8,69,12.3
Gisborne,2017,Jan,17,22,16.5,14.3,77,12.5
Gisborne,2017,Jan,17,23,15.7,13.7,79,12.1
